"OriginalTaxonNo" "ResolvedTaxonNo" "TaxonName" "TaxonRank" "ParentTaxonNo" "TaxonValidity" "AcceptedNumber" "AcceptedName"
"336" NA "txn:56034" "Leguminosites lamarensis" "3" NA NA NA NA
"337" NA "txn:56035" "Celastrus culveri" "3" NA NA NA NA
"338" NA "txn:56036" "Celastrus inaequalis" "3" NA NA NA NA
"339" NA "txn:56037" "Celastrus ellipticus" "3" NA NA NA NA
"340" NA "txn:56038" "Elaeodendron polymorphum" "3" NA NA NA NA
"341" NA "txn:56040" "Acer vivarium" "3" NA NA NA NA
"342" NA "txn:56041" "Sapindus alatus" "3" NA NA NA NA
"343" NA "txn:56042" "Sapindus grandifolioloides" "3" NA NA NA NA
"344" NA "txn:56043" "Sapindus wardii" "3" NA NA NA NA
"345" NA "txn:56044" "Rhamnus rectinervis" "3" NA NA NA NA
"346" NA "txn:56045" "Paliurus colombi" "3" NA NA NA NA
"347" NA "txn:56046" "Zizyphus serrulata" "3" NA NA NA NA
"348" NA "txn:56048" "Cissus haguei" "3" NA NA NA NA
"349" NA "txn:56049" "Pterospermites haguei" "3" NA NA NA NA
"350" NA "txn:56051" "Credneria pachyphylla" "3" NA NA NA NA
"351" NA "txn:56053" "Credneriaceae" "9" NA NA NA NA
"352" NA "txn:56054" "Tilia populifolia" "3" NA NA NA NA
"353" NA "txn:56056" "Grewiopsis aldersoni" "3" NA NA NA NA
"354" NA "txn:56058" "Aralia wrightii" "3" NA NA NA NA
"355" NA "txn:56060" "Aralia notata" "3" NA NA NA NA
"356" NA "txn:56061" "Aralia serrulata" "3" NA NA NA NA
"357" NA "txn:56062" "Cornus newberryi" "3" NA NA NA NA
"358" NA "txn:56063" "Cornus wrightii" "3" NA NA NA NA
"359" NA "txn:56064" "Arctostaphylos elliptica" "3" NA NA NA NA
"360" NA "txn:56066" "Diospyros brachysepala" "3" NA NA NA NA
"361" NA "txn:56067" "Diospyros lamarensis" "3" NA NA NA NA
"362" NA "txn:56068" "Diospyros haguei" "3" NA NA NA NA
"363" NA "txn:56069" "Fraxinus wrightii" "3" NA NA NA NA
"364" NA "txn:56070" "Phyllites crassifolia" "3" NA NA NA NA
"365" NA "txn:56071" "Carpolithes osseus" "3" NA NA NA NA
"366" NA "txn:56072" "Carpites pedunculatus" "3" NA NA NA NA
"367" NA "txn:56073" "Sequoia magnifica" "3" NA NA NA NA
"368" NA "txn:56074" "Pityoxylon aldersoni" "3" NA NA NA NA
"369" NA "txn:56076" "Pityoxylon amethystinum" "3" NA NA NA NA
"370" NA "txn:56077" "Laurinoxylon pulchrum" "3" NA NA NA NA
"371" NA "txn:56079" "Perseoxylon aromaticum" "3" NA NA NA NA
"372" NA "txn:56081" "Plataninium haydeni" "3" NA NA NA NA
"373" NA "txn:56083" "Rhamnacinium radiatum" "3" NA NA NA NA
"374" NA "txn:56085" "Quercinium lamarense" "3" NA NA NA NA
"375" NA "txn:56087" "Quercinium knowltoni" "3" NA NA NA NA
"376" NA "txn:56103" "Coniopteris simplex" "3" NA NA NA NA
"377" NA "txn:56116" "Sphenopteris brulensis" "3" NA NA NA NA
"378" NA "txn:56118" "Sphenopteris latiloba" "3" NA NA NA NA
"379" NA "txn:56119" "Sphenopteris mclearni" "3" NA NA NA NA
"380" NA "txn:56120" "Sphenopteris goepperti" "3" NA NA NA NA
"381" NA "txn:56123" "Parazollopsis cascadensis" "3" NA NA NA NA
"382" NA "txn:56168" "Phyllopteroides macclymontae" "3" NA NA NA NA
"383" NA "txn:56170" "Microphyllopteris gleichenioides" "3" NA NA NA NA
"384" NA "txn:56172" "Sphenopteris warragulensis" "3" NA NA NA NA
"385" NA "txn:56173" "Ginkgo wintonensis" "3" NA NA NA NA
"386" NA "txn:56174" "Araucaria mesozoica" "3" NA NA NA NA
"387" NA "txn:56178" "Austrosequoia wintonensis" "3" NA NA NA NA
"388" NA "txn:56184" "Cuffeyella arachnoidea" "3" NA NA NA NA
"389" NA "txn:56202" "Equisetum arcticum" "3" NA NA NA NA
"390" NA "txn:56204" "Ginkgo adiantoides" "3" NA NA NA NA
